title_word_count,text_richness,title_to_abstract_ratio,abstract_word_count,concept_count,keyword_count,recency_score,text_length_category,abstract_keyword_overlap,oa_category
11,0.2577,0.1337,97,13,12,0,2,1,partially_open
17,0.053,0.0544,302,9,7,0,3,0,partially_open
9,0.1489,0.0601,141,11,10,0,2,1,fully_open
10,0.1341,0.0629,179,13,11,0,2,1,closed
12,0.122,0.0925,164,10,10,0.3333,2,1,closed
11,0.1768,0.0751,181,17,15,0,2,1,closed
20,0.0486,0.0779,288,7,7,0.3333,3,1,partially_open
9,0.1755,0.0498,188,19,14,0,2,1,fully_open
7,1.2143,0.4045,14,9,8,0.3333,1,0,closed
11,0.1011,0.0692,178,9,9,0,2,1,partially_open
15,0.1176,0.0668,238,16,12,0.3333,3,1,fully_open
18,0.0687,0.0943,233,8,8,0.3333,3,1,fully_open
14,0.1076,0.1043,158,10,7,0.6667,2,1,fully_open
7,0.1273,0.0269,220,15,13,0,3,1,fully_open
11,0.1667,0.068,192,17,15,0.6667,2,1,fully_open
9,0.1905,0.0454,189,22,14,0.3333,2,1,closed
13,0.3134,0.1196,134,23,19,0,2,1,closed
13,0.1222,0.072,180,12,10,0.3333,2,1,closed
16,0.0957,0.0791,188,9,9,0.3333,2,1,fully_open
8,0.1435,0.0568,209,16,14,0,3,0,closed
6,0.033,0.0281,303,5,5,0,3,0,partially_open
4,0.1461,0.0244,178,14,12,0.3333,2,1,fully_open
14,0.0406,0.0596,197,4,4,0,2,0,closed
9,0.1224,0.043,196,14,10,0.3333,2,0,fully_open
12,0.1515,0.076,198,16,14,0,2,1,fully_open
8,0.2184,0.0645,174,24,14,0.3333,2,1,fully_open
4,0.0285,0.0154,281,4,4,0.6667,3,1,fully_open
9,0.1039,0.0387,231,12,12,0.3333,3,1,partially_open
10,0.2114,0.0878,123,15,11,0.6667,2,1,fully_open
9,0.301,0.0888,103,16,15,0.3333,2,1,fully_open
11,0.1095,0.0733,201,13,9,0.3333,2,0,partially_open
4,0.0675,0.0189,163,6,5,1,2,0,partially_open
8,0.1211,0.0434,256,18,13,0.6667,3,1,fully_open
5,0.1728,0.0412,162,14,14,0.3333,2,1,partially_open
20,0.2208,0.1322,154,17,17,0,2,1,partially_open
11,0.2177,0.088,147,17,15,0.3333,2,1,fully_open
9,0.2081,0.0547,149,17,14,0.3333,2,1,partially_open
9,0.1176,0.0512,187,11,11,0.6667,2,0,partially_open
9,0.1373,0.0596,204,16,12,0,2,1,closed
11,0.0894,0.0598,179,10,6,0,2,0,closed
14,0.0526,0.0615,228,6,6,1,3,1,partially_open
11,0.1087,0.0485,230,16,9,0.3333,3,1,fully_open
8,0.2523,0.0931,111,17,11,0,2,1,partially_open
10,0.0827,0.0475,254,13,8,0,3,0,fully_open
8,0.1393,0.0746,122,10,7,0,2,1,closed
10,0.1532,0.1146,124,11,8,0.3333,2,1,partially_open
10,0.2624,0.0876,141,20,17,0,2,1,partially_open
13,0.1046,0.0432,325,19,15,0.3333,3,0,fully_open
7,0.2022,0.0397,183,22,15,0.3333,2,1,partially_open
15,0.1364,0.0887,198,15,12,0.3333,2,1,partially_open
10,0.232,0.0834,125,15,14,0,2,0,partially_open
11,0.1515,0.0468,198,18,12,0.3333,2,0,partially_open
9,0.1053,0.0421,228,13,11,0.3333,3,1,closed
8,0.1229,0.0415,179,12,10,0.3333,2,1,partially_open
5,0.1478,0.0316,203,16,14,0,2,0,fully_open
12,0.1731,0.1435,104,9,9,0,2,1,fully_open
11,0.146,0.0472,226,19,14,0.3333,2,1,partially_open
13,0.0783,0.0774,166,8,5,0,2,0,partially_open
13,0.0947,0.0766,190,10,8,0,2,1,fully_open
16,0.0975,0.0718,236,12,11,0.3333,3,1,closed
5,0.2516,0.0317,155,23,16,0,2,0,partially_open
17,0.1301,0.0696,269,21,14,0.3333,3,1,fully_open
10,0.236,0.0662,161,22,16,0.3333,2,1,closed
10,0.0952,0.0658,147,7,7,0,2,1,fully_open
7,0.1314,0.053,175,12,11,0.3333,2,1,partially_open
15,0.0913,0.0735,219,11,9,0,3,1,fully_open
12,0.1471,0.0955,170,14,11,0.3333,2,1,fully_open
5,0.0982,0.0221,224,13,9,0.3333,3,0,closed
18,0.1043,0.062,326,19,15,0.6667,3,1,fully_open
