publication_year,paper_age,title_length,abstract_length,keyword_count,concept_count,has_doi,title_word_count,abstract_word_count,title_to_abstract_ratio,text_richness,recency_score,abstract_keyword_overlap,publication_year_norm,is_open_access_int,has_fulltext_int,oa_cat_fully_open,oa_cat_partially_open,oa_cat_closed,impact_tier
2024,2,141,875,16,23,1,18,115,0.1611,0.3391,0.6667,1,0.6667,1,0,1,0,0,high
2024,2,137,1663,16,16,1,21,253,0.0824,0.1265,0.6667,1,0.6667,1,0,1,0,0,high
2024,2,70,1423,16,24,1,10,212,0.0492,0.1887,0.6667,0,0.6667,1,0,1,0,0,high
2023,3,74,1608,10,13,1,7,224,0.046,0.1027,0.3333,1,0.3333,1,0,0,1,0,high
2022,4,126,1113,12,16,1,17,148,0.1132,0.1892,0,1,0,1,1,0,1,0,high
2023,3,74,1488,8,10,1,9,198,0.0497,0.0909,0.3333,0,0.3333,1,1,1,0,0,high
2022,4,60,1402,8,9,1,9,206,0.0428,0.0825,0,1,0,1,1,0,1,0,high
2023,3,129,669,12,12,1,15,100,0.1928,0.24,0.3333,1,0.3333,1,0,0,1,0,high
2022,4,59,1816,5,6,1,9,241,0.0325,0.0456,0,0,0,1,1,0,1,0,high
2023,3,92,1529,17,20,1,9,214,0.0602,0.1729,0.3333,1,0.3333,1,0,0,1,0,high
2022,4,71,2065,12,19,1,9,322,0.0344,0.0963,0,0,0,1,1,1,0,0,high
2022,4,65,1291,10,15,1,9,185,0.0503,0.1351,0,1,0,0,0,0,0,1,high
2022,4,94,1142,15,22,1,14,165,0.0823,0.2242,0,1,0,1,1,1,0,0,high
2022,4,75,877,11,17,1,9,138,0.0855,0.2029,0,0,0,1,1,0,1,0,high
2022,4,75,1267,14,14,1,9,171,0.0592,0.1637,0,1,0,1,1,1,0,0,high
2022,4,47,1912,10,12,1,8,271,0.0246,0.0812,0,1,0,1,1,0,1,0,high
2023,3,47,1000,9,11,1,6,141,0.047,0.1418,0.3333,1,0.3333,1,0,0,1,0,high
2022,4,66,1536,11,14,1,9,215,0.043,0.1163,0,0,0,1,0,0,1,0,high
2022,4,54,1454,13,22,1,8,227,0.0371,0.1542,0,1,0,1,1,0,1,0,high
2023,3,84,789,5,5,1,10,108,0.1065,0.0926,0.3333,0,0.3333,1,1,0,1,0,high
2022,4,66,1679,16,18,1,8,228,0.0393,0.1491,0,0,0,1,1,1,0,0,high
2023,3,74,1242,11,14,1,10,170,0.0596,0.1471,0.3333,1,0.3333,1,1,0,1,0,high
2023,3,104,1816,14,23,1,13,273,0.0573,0.1355,0.3333,0,0.3333,1,1,1,0,0,high
2022,4,41,855,13,16,1,5,129,0.048,0.2248,0,1,0,1,0,0,1,0,high
2025,1,61,673,16,20,1,7,92,0.0906,0.3913,1,1,1,1,1,0,1,0,high
